epoch:1,test_acc:0.2552782893180847, p:0.06447712418300652, recall:0.1641235933625787,f1_score:0.08610481624463692
epoch:2,test_acc:0.2994241714477539, p:0.118811490178332, recall:0.21620777388719548,f1_score:0.11917748585966273
epoch:3,test_acc:0.39731284976005554, p:0.2398287830846272, recall:0.3468137475703853,f1_score:0.2666436103168858
epoch:4,test_acc:0.518234133720398, p:0.5063454308441312, recall:0.4722088055460416,f1_score:0.4017655124680557
epoch:5,test_acc:0.6487523913383484, p:0.616942931027959, recall:0.623035725463643,f1_score:0.5710078256330241
epoch:6,test_acc:0.6794625520706177, p:0.7170887381839505, recall:0.6476379990442909,f1_score:0.6046246334595728
epoch:7,test_acc:0.7332053780555725, p:0.7252343510296746, recall:0.7142061110969585,f1_score:0.6927464471758276
epoch:9,test_acc:0.7619961500167847, p:0.7887268916521876, recall:0.7423725886021209,f1_score:0.7126286525425946
epoch:11,test_acc:0.7965450882911682, p:0.8048794150831137, recall:0.783936653080685,f1_score:0.7837500531856182
epoch:13,test_acc:0.8042226433753967, p:0.794300494493337, recall:0.7876374592450381,f1_score:0.7842818121535647
epoch:16,test_acc:0.8253358602523804, p:0.827754629526441, recall:0.8105749711635213,f1_score:0.8066105182911956
epoch:18,test_acc:0.834932804107666, p:0.8329626805481937, recall:0.8263330877880275,f1_score:0.814127334148304
epoch:23,test_acc:0.8579654097557068, p:0.8632813929598585, recall:0.8449480776692335,f1_score:0.8471818802644101
epoch:32,test_acc:0.8829174637794495, p:0.8777585618759014, recall:0.8781596886200835,f1_score:0.8691089410411925
