epoch:1,test_acc:0.35316696763038635, p:0.13282795584151522, recall:0.2700334573081569,f1_score:0.15890340002208458
epoch:2,test_acc:0.4587332010269165, p:0.39346200968997597, recall:0.3838246348232929,f1_score:0.31489540147544687
epoch:3,test_acc:0.5566218495368958, p:0.44447824652604123, recall:0.5095070419382656,f1_score:0.4449558795718359
epoch:4,test_acc:0.5950095653533936, p:0.5950156566646069, recall:0.5550383542330197,f1_score:0.49828929757606233
epoch:5,test_acc:0.7735124826431274, p:0.7669320002480613, recall:0.7602660912855772,f1_score:0.7311397087931235
epoch:10,test_acc:0.7811899781227112, p:0.7873304967802691, recall:0.7643768848771042,f1_score:0.7586150654946476
epoch:11,test_acc:0.7869481444358826, p:0.8300778150496196, recall:0.7729634596461442,f1_score:0.7761773325929245
epoch:12,test_acc:0.8368521928787231, p:0.822598443609652, recall:0.8264528939759508,f1_score:0.8208728858715203
epoch:17,test_acc:0.8771592974662781, p:0.868277107841702, recall:0.8716071057614594,f1_score:0.8587499218246512
epoch:26,test_acc:0.917466402053833, p:0.9170207679916981, recall:0.9117238698870306,f1_score:0.9105811853317274
epoch:33,test_acc:0.9270632863044739, p:0.9202181846293044, recall:0.9222572544448523,f1_score:0.9197080122605567
epoch:34,test_acc:0.9309020638465881, p:0.9326852699431756, recall:0.9308648956146467,f1_score:0.9237844917086016
epoch:41,test_acc:0.9328214526176453, p:0.9296774395615366, recall:0.9296811817425905,f1_score:0.9268553117387688
